Building,DataValue,DateTime,DayOfWeek,Time,PowerUsage,OriginalPowerUsage
7호관(학생회관),20439289.0,2024-04-23 13:20:00,1,13:20:00,0.0,0.0
7호관(학생회관),20439325.0,2024-04-23 13:30:00,1,13:30:00,0.7826086956521738,36.0
7호관(학생회관),20439358.0,2024-04-23 13:40:00,1,13:40:00,0.717391304347826,33.0
7호관(학생회관),20439393.0,2024-04-23 13:50:00,1,13:50:00,0.7608695652173912,35.0
7호관(학생회관),20439427.0,2024-04-23 14:00:00,1,14:00:00,0.7391304347826086,34.0
7호관(학생회관),20439461.0,2024-04-23 14:10:00,1,14:10:00,0.7391304347826086,34.0
7호관(학생회관),20439497.0,2024-04-23 14:20:00,1,14:20:00,0.7826086956521738,36.0
7호관(학생회관),20439531.0,2024-04-23 14:30:00,1,14:30:00,0.7391304347826086,34.0
7호관(학생회관),20439565.0,2024-04-23 14:40:00,1,14:40:00,0.7391304347826086,34.0
7호관(학생회관),20439599.0,2024-04-23 14:50:00,1,14:50:00,0.7391304347826086,34.0
7호관(학생회관),20439633.0,2024-04-23 15:00:00,1,15:00:00,0.7391304347826086,34.0
7호관(학생회관),20439667.0,2024-04-23 15:10:00,1,15:10:00,0.7391304347826086,34.0
7호관(학생회관),20439701.0,2024-04-23 15:20:00,1,15:20:00,0.7391304347826086,34.0
7호관(학생회관),20439735.0,2024-04-23 15:30:00,1,15:30:00,0.7391304347826086,34.0
7호관(학생회관),20439767.0,2024-04-23 15:40:00,1,15:40:00,0.6956521739130435,32.0
7호관(학생회관),20439799.0,2024-04-23 15:50:00,1,15:50:00,0.6956521739130435,32.0
7호관(학생회관),20439833.0,2024-04-23 16:00:00,1,16:00:00,0.7391304347826086,34.0
7호관(학생회관),20439867.0,2024-04-23 16:10:00,1,16:10:00,0.7391304347826086,34.0
7호관(학생회관),20439899.0,2024-04-23 16:20:00,1,16:20:00,0.6956521739130435,32.0
7호관(학생회관),20439931.0,2024-04-23 16:30:00,1,16:30:00,0.6956521739130435,32.0
7호관(학생회관),20439963.0,2024-04-23 16:40:00,1,16:40:00,0.6956521739130435,32.0
7호관(학생회관),20439996.0,2024-04-23 16:50:00,1,16:50:00,0.717391304347826,33.0
7호관(학생회관),20440029.0,2024-04-23 17:00:00,1,17:00:00,0.717391304347826,33.0
7호관(학생회관),20440061.0,2024-04-23 17:10:00,1,17:10:00,0.6956521739130435,32.0
7호관(학생회관),20440092.0,2024-04-23 17:20:00,1,17:20:00,0.6739130434782609,31.0
7호관(학생회관),20440124.0,2024-04-23 17:30:00,1,17:30:00,0.6956521739130435,32.0
7호관(학생회관),20440155.0,2024-04-23 17:40:00,1,17:40:00,0.6739130434782609,31.0
7호관(학생회관),20440187.0,2024-04-23 17:50:00,1,17:50:00,0.6956521739130435,32.0
7호관(학생회관),20440219.0,2024-04-23 18:00:00,1,18:00:00,0.6956521739130435,32.0
7호관(학생회관),20440250.0,2024-04-23 18:10:00,1,18:10:00,0.6739130434782609,31.0
