Building,DataValue,DateTime,DayOfWeek,Time,PowerUsage,OriginalPowerUsage
서호관,8908231.0,2024-04-23 13:20:00,1,13:20:00,0.0,0.0
서호관,8908249.0,2024-04-23 13:30:00,1,13:30:00,0.75,18.0
서호관,8908270.0,2024-04-23 13:40:00,1,13:40:00,0.875,21.0
서호관,8908290.0,2024-04-23 13:50:00,1,13:50:00,0.8333333333333333,20.0
서호관,8908308.0,2024-04-23 14:00:00,1,14:00:00,0.75,18.0
서호관,8908327.0,2024-04-23 14:10:00,1,14:10:00,0.7916666666666666,19.0
서호관,8908346.0,2024-04-23 14:20:00,1,14:20:00,0.7916666666666666,19.0
서호관,8908363.0,2024-04-23 14:30:00,1,14:30:00,0.7083333333333333,17.0
서호관,8908381.0,2024-04-23 14:40:00,1,14:40:00,0.75,18.0
서호관,8908400.0,2024-04-23 14:50:00,1,14:50:00,0.7916666666666666,19.0
서호관,8908418.0,2024-04-23 15:00:00,1,15:00:00,0.75,18.0
서호관,8908436.0,2024-04-23 15:10:00,1,15:10:00,0.75,18.0
서호관,8908453.0,2024-04-23 15:20:00,1,15:20:00,0.7083333333333333,17.0
서호관,8908472.0,2024-04-23 15:30:00,1,15:30:00,0.7916666666666666,19.0
서호관,8908490.0,2024-04-23 15:40:00,1,15:40:00,0.75,18.0
서호관,8908508.0,2024-04-23 15:50:00,1,15:50:00,0.75,18.0
서호관,8908526.0,2024-04-23 16:00:00,1,16:00:00,0.75,18.0
서호관,8908546.0,2024-04-23 16:10:00,1,16:10:00,0.8333333333333333,20.0
서호관,8908563.0,2024-04-23 16:20:00,1,16:20:00,0.7083333333333333,17.0
서호관,8908581.0,2024-04-23 16:30:00,1,16:30:00,0.75,18.0
서호관,8908598.0,2024-04-23 16:40:00,1,16:40:00,0.7083333333333333,17.0
서호관,8908618.0,2024-04-23 16:50:00,1,16:50:00,0.8333333333333333,20.0
서호관,8908635.0,2024-04-23 17:00:00,1,17:00:00,0.7083333333333333,17.0
서호관,8908653.0,2024-04-23 17:10:00,1,17:10:00,0.75,18.0
서호관,8908669.0,2024-04-23 17:20:00,1,17:20:00,0.6666666666666666,16.0
서호관,8908686.0,2024-04-23 17:30:00,1,17:30:00,0.7083333333333333,17.0
서호관,8908702.0,2024-04-23 17:40:00,1,17:40:00,0.6666666666666666,16.0
서호관,8908718.0,2024-04-23 17:50:00,1,17:50:00,0.6666666666666666,16.0
서호관,8908734.0,2024-04-23 18:00:00,1,18:00:00,0.6666666666666666,16.0
서호관,8908749.0,2024-04-23 18:10:00,1,18:10:00,0.625,15.0
서호관,8908765.0,2024-04-23 18:20:00,1,18:20:00,0.6666666666666666,16.0
서호관,8908780.0,2024-04-23 18:30:00,1,18:30:00,0.625,15.0
서호관,8908795.0,2024-04-23 18:40:00,1,18:40:00,0.625,15.0
서호관,8908810.0,2024-04-23 18:50:00,1,18:50:00,0.625,15.0
서호관,8908825.0,2024-04-23 19:00:00,1,19:00:00,0.625,15.0
서호관,8908841.0,2024-04-23 19:10:00,1,19:10:00,0.6666666666666666,16.0
서호관,8908854.0,2024-04-23 19:20:00,1,19:20:00,0.5416666666666666,13.0
서호관,8908872.0,2024-04-23 19:30:00,1,19:30:00,0.75,18.0
서호관,8908888.0,2024-04-23 19:40:00,1,19:40:00,0.6666666666666666,16.0
서호관,8908902.0,2024-04-23 19:50:00,1,19:50:00,0.5833333333333333,14.0
서호관,8908918.0,2024-04-23 20:00:00,1,20:00:00,0.6666666666666666,16.0
서호관,8908933.0,2024-04-23 20:10:00,1,20:10:00,0.625,15.0
서호관,8908950.0,2024-04-23 20:20:00,1,20:20:00,0.7083333333333333,17.0
서호관,8908965.0,2024-04-23 20:30:00,1,20:30:00,0.625,15.0
서호관,8908981.0,2024-04-23 20:40:00,1,20:40:00,0.6666666666666666,16.0
서호관,8908998.0,2024-04-23 20:50:00,1,20:50:00,0.7083333333333333,17.0
서호관,8909012.0,2024-04-23 21:00:00,1,21:00:00,0.5833333333333333,14.0
