Building,DataValue,TimeStamp,DateTime
김현태인하드림센터,3623996.0,1713846000,2024-04-23 13:20:00
김현태인하드림센터,3623998.0,1713846600,2024-04-23 13:30:00
김현태인하드림센터,3624000.0,1713847200,2024-04-23 13:40:00
김현태인하드림센터,3624002.0,1713847800,2024-04-23 13:50:00
김현태인하드림센터,3624004.0,1713848400,2024-04-23 14:00:00
김현태인하드림센터,3624007.0,1713849000,2024-04-23 14:10:00
김현태인하드림센터,3624009.0,1713849600,2024-04-23 14:20:00
김현태인하드림센터,3624011.0,1713850200,2024-04-23 14:30:00
김현태인하드림센터,3624013.0,1713850800,2024-04-23 14:40:00
김현태인하드림센터,3624015.0,1713851400,2024-04-23 14:50:00
김현태인하드림센터,3624017.0,1713852000,2024-04-23 15:00:00
김현태인하드림센터,3624019.0,1713852600,2024-04-23 15:10:00
김현태인하드림센터,3624020.0,1713853200,2024-04-23 15:20:00
김현태인하드림센터,3624022.0,1713853800,2024-04-23 15:30:00
김현태인하드림센터,3624024.0,1713854400,2024-04-23 15:40:00
김현태인하드림센터,3624026.0,1713855000,2024-04-23 15:50:00
김현태인하드림센터,3624028.0,1713855600,2024-04-23 16:00:00
김현태인하드림센터,3624031.0,1713856200,2024-04-23 16:10:00
김현태인하드림센터,3624033.0,1713856800,2024-04-23 16:20:00
김현태인하드림센터,3624035.0,1713857400,2024-04-23 16:30:00
김현태인하드림센터,3624038.0,1713858000,2024-04-23 16:40:00
김현태인하드림센터,3624041.0,1713858600,2024-04-23 16:50:00
김현태인하드림센터,3624043.0,1713859200,2024-04-23 17:00:00
김현태인하드림센터,3624046.0,1713859800,2024-04-23 17:10:00
김현태인하드림센터,3624049.0,1713860400,2024-04-23 17:20:00
김현태인하드림센터,3624051.0,1713861000,2024-04-23 17:30:00
김현태인하드림센터,3624054.0,1713861600,2024-04-23 17:40:00
김현태인하드림센터,3624056.0,1713862200,2024-04-23 17:50:00
김현태인하드림센터,3624058.0,1713862800,2024-04-23 18:00:00
김현태인하드림센터,3624061.0,1713863400,2024-04-23 18:10:00
김현태인하드림센터,3624063.0,1713864000,2024-04-23 18:20:00
김현태인하드림센터,3624066.0,1713864600,2024-04-23 18:30:00
김현태인하드림센터,3624068.0,1713865200,2024-04-23 18:40:00
김현태인하드림센터,3624071.0,1713865800,2024-04-23 18:50:00
김현태인하드림센터,3624073.0,1713866400,2024-04-23 19:00:00
김현태인하드림센터,3624075.0,1713867000,2024-04-23 19:10:00
김현태인하드림센터,3624077.0,1713867600,2024-04-23 19:20:00
김현태인하드림센터,3624079.0,1713868200,2024-04-23 19:30:00
김현태인하드림센터,3624081.0,1713868800,2024-04-23 19:40:00
김현태인하드림센터,3624083.0,1713869400,2024-04-23 19:50:00
김현태인하드림센터,3624085.0,1713870000,2024-04-23 20:00:00
김현태인하드림센터,3624087.0,1713870600,2024-04-23 20:10:00
김현태인하드림센터,3624089.0,1713871200,2024-04-23 20:20:00
김현태인하드림센터,3624091.0,1713871800,2024-04-23 20:30:00
김현태인하드림센터,3624093.0,1713872400,2024-04-23 20:40:00
김현태인하드림센터,3624095.0,1713873000,2024-04-23 20:50:00
김현태인하드림센터,3624097.0,1713873600,2024-04-23 21:00:00
김현태인하드림센터,3624099.0,1713874200,2024-04-23 21:10:00
김현태인하드림센터,3624101.0,1713874800,2024-04-23 21:20:00
김현태인하드림센터,3624103.0,1713875400,2024-04-23 21:30:00
김현태인하드림센터,3624105.0,1713876000,2024-04-23 21:40:00
김현태인하드림센터,3624107.0,1713876600,2024-04-23 21:50:00
김현태인하드림센터,3624110.0,1713877200,2024-04-23 22:00:00
김현태인하드림센터,3624112.0,1713877800,2024-04-23 22:10:00
김현태인하드림센터,3624114.0,1713878400,2024-04-23 22:20:00
김현태인하드림센터,3624116.0,1713879000,2024-04-23 22:30:00
김현태인하드림센터,3624119.0,1713879600,2024-04-23 22:40:00
김현태인하드림센터,3624121.0,1713880200,2024-04-23 22:50:00
김현태인하드림센터,3624123.0,1713880800,2024-04-23 23:00:00
김현태인하드림센터,3624125.0,1713881400,2024-04-23 23:10:00
김현태인하드림센터,3624127.0,1713882000,2024-04-23 23:20:00
김현태인하드림센터,3624129.0,1713882600,2024-04-23 23:30:00
김현태인하드림센터,3624131.0,1713883200,2024-04-23 23:40:00
김현태인하드림센터,3624133.0,1713883800,2024-04-23 23:50:00
김현태인하드림센터,3624135.0,1713884400,2024-04-24 00:00:00
김현태인하드림센터,3624137.0,1713885000,2024-04-24 00:10:00
김현태인하드림센터,3624139.0,1713885600,2024-04-24 00:20:00
김현태인하드림센터,3624141.0,1713886200,2024-04-24 00:30:00
김현태인하드림센터,3624143.0,1713886800,2024-04-24 00:40:00
김현태인하드림센터,3624145.0,1713887400,2024-04-24 00:50:00
김현태인하드림센터,3624147.0,1713888000,2024-04-24 01:00:00
김현태인하드림센터,3624149.0,1713888600,2024-04-24 01:10:00
김현태인하드림센터,3624152.0,1713889200,2024-04-24 01:20:00
김현태인하드림센터,3624154.0,1713889800,2024-04-24 01:30:00
김현태인하드림센터,3624156.0,1713890400,2024-04-24 01:40:00
김현태인하드림센터,3624158.0,1713891000,2024-04-24 01:50:00
김현태인하드림센터,3624160.0,1713891600,2024-04-24 02:00:00
김현태인하드림센터,3624162.0,1713892200,2024-04-24 02:10:00
김현태인하드림센터,3624164.0,1713892800,2024-04-24 02:20:00
김현태인하드림센터,3624166.0,1713893400,2024-04-24 02:30:00
김현태인하드림센터,3624168.0,1713894000,2024-04-24 02:40:00
김현태인하드림센터,3624170.0,1713894600,2024-04-24 02:50:00
김현태인하드림센터,3624173.0,1713895200,2024-04-24 03:00:00
김현태인하드림센터,3624175.0,1713895800,2024-04-24 03:10:00
김현태인하드림센터,3624177.0,1713896400,2024-04-24 03:20:00
김현태인하드림센터,3624179.0,1713897000,2024-04-24 03:30:00
김현태인하드림센터,3624181.0,1713897600,2024-04-24 03:40:00
김현태인하드림센터,3624183.0,1713898200,2024-04-24 03:50:00
김현태인하드림센터,3624185.0,1713898800,2024-04-24 04:00:00
김현태인하드림센터,3624187.0,1713899400,2024-04-24 04:10:00
김현태인하드림센터,3624189.0,1713900000,2024-04-24 04:20:00
김현태인하드림센터,3624191.0,1713900600,2024-04-24 04:30:00
김현태인하드림센터,3624192.0,1713901200,2024-04-24 04:40:00
김현태인하드림센터,3624194.0,1713901800,2024-04-24 04:50:00
김현태인하드림센터,3624196.0,1713902400,2024-04-24 05:00:00
김현태인하드림센터,3624197.0,1713903000,2024-04-24 05:10:00
김현태인하드림센터,3624199.0,1713903600,2024-04-24 05:20:00
김현태인하드림센터,3624201.0,1713904200,2024-04-24 05:30:00
김현태인하드림센터,3624202.0,1713904800,2024-04-24 05:40:00
김현태인하드림센터,3624204.0,1713905400,2024-04-24 05:50:00
김현태인하드림센터,3624205.0,1713906000,2024-04-24 06:00:00
김현태인하드림센터,3624207.0,1713906600,2024-04-24 06:10:00
김현태인하드림센터,3624208.0,1713907200,2024-04-24 06:20:00
김현태인하드림센터,3624210.0,1713907800,2024-04-24 06:30:00
김현태인하드림센터,3624212.0,1713908400,2024-04-24 06:40:00
김현태인하드림센터,3624213.0,1713909000,2024-04-24 06:50:00
김현태인하드림센터,3624215.0,1713909600,2024-04-24 07:00:00
김현태인하드림센터,3624216.0,1713910200,2024-04-24 07:10:00
김현태인하드림센터,3624218.0,1713910800,2024-04-24 07:20:00
김현태인하드림센터,3624220.0,1713911400,2024-04-24 07:30:00
김현태인하드림센터,3624222.0,1713912000,2024-04-24 07:40:00
김현태인하드림센터,3624224.0,1713912600,2024-04-24 07:50:00
김현태인하드림센터,3624225.0,1713913200,2024-04-24 08:00:00
김현태인하드림센터,3624227.0,1713913800,2024-04-24 08:10:00
김현태인하드림센터,3624229.0,1713914400,2024-04-24 08:20:00
김현태인하드림센터,3624230.0,1713915000,2024-04-24 08:30:00
김현태인하드림센터,3624232.0,1713915600,2024-04-24 08:40:00
김현태인하드림센터,3624234.0,1713916200,2024-04-24 08:50:00
김현태인하드림센터,3624236.0,1713916800,2024-04-24 09:00:00
김현태인하드림센터,3624238.0,1713917400,2024-04-24 09:10:00
김현태인하드림센터,3624240.0,1713918000,2024-04-24 09:20:00
김현태인하드림센터,3624242.0,1713918600,2024-04-24 09:30:00
김현태인하드림센터,3624244.0,1713919200,2024-04-24 09:40:00
김현태인하드림센터,3624247.0,1713919800,2024-04-24 09:50:00
김현태인하드림센터,3624249.0,1713920400,2024-04-24 10:00:00
김현태인하드림센터,3624251.0,1713921000,2024-04-24 10:10:00
김현태인하드림센터,3624253.0,1713921600,2024-04-24 10:20:00
김현태인하드림센터,3624255.0,1713922200,2024-04-24 10:30:00
김현태인하드림센터,3624257.0,1713922800,2024-04-24 10:40:00
김현태인하드림센터,3624259.0,1713923400,2024-04-24 10:50:00
김현태인하드림센터,3624262.0,1713924000,2024-04-24 11:00:00
김현태인하드림센터,3624265.0,1713924600,2024-04-24 11:10:00
김현태인하드림센터,3624267.0,1713925200,2024-04-24 11:20:00
김현태인하드림센터,3624271.0,1713925800,2024-04-24 11:30:00
김현태인하드림센터,3624275.0,1713926400,2024-04-24 11:40:00
김현태인하드림센터,3624279.0,1713927000,2024-04-24 11:50:00
김현태인하드림센터,3624282.0,1713927600,2024-04-24 12:00:00
김현태인하드림센터,3624286.0,1713928200,2024-04-24 12:10:00
김현태인하드림센터,3624289.0,1713928800,2024-04-24 12:20:00
김현태인하드림센터,3624293.0,1713929400,2024-04-24 12:30:00
김현태인하드림센터,3624296.0,1713930000,2024-04-24 12:40:00
김현태인하드림센터,3624300.0,1713930600,2024-04-24 12:50:00
김현태인하드림센터,3624303.0,1713931200,2024-04-24 13:00:00
김현태인하드림센터,3624306.0,1713931800,2024-04-24 13:10:00
김현태인하드림센터,3624309.0,1713932400,2024-04-24 13:20:00
김현태인하드림센터,3624311.0,1713933000,2024-04-24 13:30:00
김현태인하드림센터,3624313.0,1713933600,2024-04-24 13:40:00
김현태인하드림센터,3624315.0,1713934200,2024-04-24 13:50:00
김현태인하드림센터,3624317.0,1713934800,2024-04-24 14:00:00
김현태인하드림센터,3624319.0,1713935400,2024-04-24 14:10:00
김현태인하드림센터,3624321.0,1713936000,2024-04-24 14:20:00
김현태인하드림센터,3624323.0,1713936600,2024-04-24 14:30:00
김현태인하드림센터,3624325.0,1713937200,2024-04-24 14:40:00
김현태인하드림센터,3624327.0,1713937800,2024-04-24 14:50:00
김현태인하드림센터,3624329.0,1713938400,2024-04-24 15:00:00
김현태인하드림센터,3624331.0,1713939000,2024-04-24 15:10:00
김현태인하드림센터,3624333.0,1713939600,2024-04-24 15:20:00
김현태인하드림센터,3624336.0,1713940200,2024-04-24 15:30:00
김현태인하드림센터,3624338.0,1713940800,2024-04-24 15:40:00
김현태인하드림센터,3624340.0,1713941400,2024-04-24 15:50:00
김현태인하드림센터,3624342.0,1713942000,2024-04-24 16:00:00
김현태인하드림센터,3624344.0,1713942600,2024-04-24 16:10:00
김현태인하드림센터,3624349.0,1713943800,2024-04-24 16:30:00
김현태인하드림센터,3624351.0,1713944400,2024-04-24 16:40:00
김현태인하드림센터,3624354.0,1713945000,2024-04-24 16:50:00
김현태인하드림센터,3624357.0,1713945600,2024-04-24 17:00:00
김현태인하드림센터,3624365.0,1713947400,2024-04-24 17:30:00
김현태인하드림센터,3624368.0,1713948000,2024-04-24 17:40:00
김현태인하드림센터,3624370.0,1713948600,2024-04-24 17:50:00
김현태인하드림센터,3624347.0,1713943200,2024-04-24 16:20:00
김현태인하드림센터,3624360.0,1713946200,2024-04-24 17:10:00
김현태인하드림센터,3624362.0,1713946800,2024-04-24 17:20:00
김현태인하드림센터,3624376.0,1713949800,2024-04-24 18:10:00
김현태인하드림센터,3624378.0,1713950400,2024-04-24 18:20:00
김현태인하드림센터,3624383.0,1713951600,2024-04-24 18:40:00
김현태인하드림센터,3624385.0,1713952200,2024-04-24 18:50:00
김현태인하드림센터,3624387.0,1713952800,2024-04-24 19:00:00
김현태인하드림센터,3624389.0,1713953400,2024-04-24 19:10:00
김현태인하드림센터,3624391.0,1713954000,2024-04-24 19:20:00
김현태인하드림센터,3624393.0,1713954600,2024-04-24 19:30:00
김현태인하드림센터,3624395.0,1713955200,2024-04-24 19:40:00
김현태인하드림센터,3624373.0,1713949200,2024-04-24 18:00:00
김현태인하드림센터,3624381.0,1713951000,2024-04-24 18:30:00
김현태인하드림센터,3624425.0,1713963600,2024-04-24 22:00:00
김현태인하드림센터,3624432.0,1713965400,2024-04-24 22:30:00
김현태인하드림센터,3624434.0,1713966000,2024-04-24 22:40:00
김현태인하드림센터,3624439.0,1713967200,2024-04-24 23:00:00
김현태인하드림센터,3624441.0,1713967800,2024-04-24 23:10:00
김현태인하드림센터,3624443.0,1713968400,2024-04-24 23:20:00
김현태인하드림센터,3624445.0,1713969000,2024-04-24 23:30:00
김현태인하드림센터,3624447.0,1713969600,2024-04-24 23:40:00
김현태인하드림센터,3624449.0,1713970200,2024-04-24 23:50:00
김현태인하드림센터,3624451.0,1713970800,2024-04-25 00:00:00
김현태인하드림센터,3632371.0,1716627000,2024-05-25 17:50:00
김현태인하드림센터,3632372.0,1716627600,2024-05-25 18:00:00
김현태인하드림센터,3632374.0,1716628200,2024-05-25 18:10:00
김현태인하드림센터,3632376.0,1716628800,2024-05-25 18:20:00
김현태인하드림센터,3632378.0,1716629400,2024-05-25 18:30:00
김현태인하드림센터,3632379.0,1716630000,2024-05-25 18:40:00
김현태인하드림센터,3632381.0,1716630600,2024-05-25 18:50:00
